标题,租金,房型,租赁方式,装修,区域1,区域2,面积,朝向,住宅类型,小区名,地址,年代,容积率,绿化率,链接
新出朝南一房 采光无遮拦 拎包入住 交通方便 有钥匙随时看,3100,1室1厅1卫,整租,精装修,徐汇区,长桥,45平米,南,普通住宅,馨宁公寓,华发路368弄                                                    ,2011年,2.5,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085902280
新 精装三房 湖景房 钥匙房 视野开阔 车位充足 拎包入住,4000,3室2厅2卫,合租,精装修,嘉定区,南翔新城,122平米,南,普通住宅,湖畔天下(公寓),芳林路1357弄                                                    ,暂无,2.02,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085637068
虹桥万博，1房2厅1卫，主卧、客厅朝南，精致装修，拎包入住,9000,1室2厅1卫,整租,精装修,长宁区,天山,65平米,南北,公寓,虹桥万博花园,古北路69弄                                                    ,2005年,2.84,52%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084998578
康桥月苑精装温馨两居室超干净整洁，房东急租，值得看一眼的房子,3600,3室2厅1卫,整租,精装修,浦东新区,周浦,90平米,南北,普通住宅,康桥月苑(南区),康佳路38弄1-79号                                                    ,2009年,3.2,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084910654
"长桥五村,精装底楼一房一厅,带大天井,全配可拎包入住",2800,1室1厅1卫,整租,精装修,徐汇区,长桥,42平米,南北,普通住宅,长桥五村,长桥五村1-71号                                                    ,1989年,1.5,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084506200
2014年新装修》小区花园位置》长期出租》优先考虑居家的客户,7000,2室1厅1卫,整租,精装修,浦东新区,金杨,100平米,南,公寓,东方知音苑,博山东路811弄                                                    ,2002年,暂无,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084287614
金昊雅苑一房出租  精装全配  邻近百联   可拎包入住,1700,1室1厅1卫,整租,精装修,奉贤区,南桥,65平米,南,普通住宅,金昊雅苑(南区),光昊路219弄                                                    ,暂无,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1083644426
苏堤春晓高层景观房 大欧装修 人车分流 带会所,7300,1室2厅1卫,整租,豪华装修,普陀区,长寿,58平米,南,普通住宅,上海苏堤春晓名苑,长寿路800弄                                                    ,2006年,3,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1081082594
宝龙城 复式温馨精装酒店式公/寓 品牌家具家电 都齐全,2200,1室1厅1卫,整租,精装修,青浦区,华新,43平米,南北,普通住宅,虹桥宝龙城(二期),新府中路1558弄                                                    ,2014年,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1085740735
配套齐全 温馨舒适 采光充足 近地铁 陪读 随时看 房 入住,3000,1室1厅1卫,整租,精装修,浦东新区,洋泾,42平米,南,普通住宅,博山小区,博山路78弄                                                    ,1988年,暂无,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085720329
电梯一房，精装带地暖，近9号线，家具家电全配，带车位，拎包住,4500,1室1厅1卫,整租,精装修,闵行区,漕宝,65平米,南北,普通住宅,九歌上郡,宜山路2328弄                                                    ,2006年,1.6,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085330863
"德州七村,地铁7号线长清路,精装整租2室1厅,性价比很高",3500,2室1厅1卫,整租,精装修,浦东新区,上南,55平米,南,老公房,德州七村,德州路350弄                                                    ,1992年,暂无,41%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085286463
温馨一室 阳光好房  生活便利  空气清新 值得入住,2500,1室1厅1卫,整租,精装修,松江区,泗泾,63平米,南,普通住宅,新凯城银杏苑,城鸿路222弄                                                    ,暂无,2.2,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084829401
3号4号9号宜山路站300米，精装两房4800,4800,2室1厅1卫,整租,精装修,徐汇区,田林,66平米,南,普通住宅,长春小区,中山西路1788弄                                                    ,1993年,1.8,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084748857
陆家嘴滨江凯旋门+芬迪家具、豪装配齐+品质生活+拎包入住！,58000,4室2厅3卫,整租,豪华装修,浦东新区,陆家嘴,280平米,南北,公寓,滨江凯旋门,浦明路688弄                                                    ,2013年,2.4,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084736173
7行知地铁口，浦联佳苑两房一厅精装全配，刮风下雨我随时在等你,5500,2室1厅1卫,整租,精装修,静安区,大宁,73平米,南,普通住宅,浦联佳苑,阳城路388弄                                                    ,2013年,1.8,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084296709
押一付一 0中介 设施齐全 随时看房 独立卫浴 交通便利,2000,2室1厅1卫,合租,精装修,闵行区,春申,22平米,南,普通住宅,锦梅馨苑,锦梅路1500弄                                                    ,2009年,暂无,36%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084285489
柏林春天精品复式一房 4200/月 采光好舒适感强 看房方便,4200,1室2厅1卫,整租,精装修,闵行区,颛桥,64平米,南,公寓,春申复地城(柏林春天一期),春申路3355弄                                                    ,2003年,1.53,37%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084279315
肇嘉浜路地铁站 实拍精装月付 主卧大阳台 南北通透 拎包入住,1680,3室1厅1卫,合租,精装修,徐汇区,斜土路,19平米,南,普通住宅,上影新村,大木桥路41弄                                                    ,1984年,1.8,25%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1084274947
整租 精装修 朝南户型 交通便利 设施齐全 随时入住 有钥匙,5500,2室1厅1卫,整租,中等装修,闵行区,春申,97平米,南北,普通住宅,上海春城(北区),莲花南路1108弄                                                    ,暂无,1.6,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083950551
凤凰城精装全配电梯房新小区随时拎包入住近五号线地铁出行方便,3300,2室2厅1卫,整租,精装修,闵行区,老闵行,98平米,南,普通住宅,凤凰城,景谷中路58弄                                                    ,2015年,暂无,38%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083498667
靠近武宁路地铁站 高层电梯房 精装两房 配置齐全拎包入住,8200,2室2厅2卫,整租,豪华装修,普陀区,长寿,120平米,南北,公寓,上海知音苑,长寿路1028弄2-38号                                                    ,2004年,3.6,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083227059
意墅家精装修联排别墅，全装全配，拎包即住，紧邻家乐福超市！,12000,4室2厅3卫,整租,精装修,松江区,莘闵别墅区,231平米,南,别墅,意境雅苑,新南路1259弄                                                    ,2008年,0.68,60%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1081820311
万科朗润园，全精装修，3房2厅2卫 点击查看更多整租信息,7200,3室2厅2卫,整租,中等装修,闵行区,七宝,135平米,南北,普通住宅,万科朗润园,新龙路1111弄                                                    ,2006年,2,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1081429885
虹桥世界旁精装三房出租随时看房紧邻公家会展中心交通便利,5200,3室2厅1卫,合租,精装修,青浦区,徐泾,90平米,南北,普通住宅,招商虹桥华府,沪青平公路1489弄                                                    ,2014年,1.5,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1081132885
主卧出租押一付一无中介紧邻地铁张江金科路广兰路精装修独立卫浴,3200,3室1厅1卫,整租,精装修,浦东新区,张东路,35平米,东,普通住宅,川杨紫薇苑,中科路2635弄                                                    ,1998年,1.9,45%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085529216
喧嚣的城市中属于自己的那一片宁静  精装全配民用水电帮搬家,1600,5室1厅1卫,合租,精装修,嘉定区,江桥,16平米,南,公寓,江桥佳苑,华江路136弄                                                    ,2012年,暂无,45%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085407542
宜德苑，精装两室，紧邻宜山路地铁，光启城,10000,2室2厅1卫,整租,精装修,徐汇区,徐家汇,107平米,南,公寓,宜德苑,古宜路99弄                                                    ,2005年,2,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084921086
真诚在乎，全力以赴房子临河位置 楼层好精装修拎包入住看房方便,3000,2室1厅1卫,整租,精装修,闵行区,莘庄,70平米,南,普通住宅,绿梅公寓(莘庄),莘凌路241弄                                                    ,1994年,1.5,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084771374
九亭 押一付一 0中介 来电立减 随时看房 实拍图 宜家装修,1490,3室1厅1卫,合租,精装修,松江区,九亭,16平米,南,普通住宅,九城湖滨,沪亭北路618弄                                                    ,2007年,1.57,47%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084288314
紧邻七宝老街  精装全配两房 爱干净的点进来 看房有钥匙,4000,2室2厅1卫,整租,精装修,闵行区,七宝,68平米,南,普通住宅,民主新村,民主路84弄                                                    ,1996年,暂无,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084158336
鼎鑫名流苑，川沙为数不多的商品房电梯房，装修精致，拎包入住,4500,4室2厅1卫,整租,精装修,浦东新区,川沙,142平米,南,普通住宅,鼎鑫名流苑,川周路8682弄                                                    ,2009年,1.6,46%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084144122
精装一房近世纪大道八佰伴+可拎包入住居家好房+先看先得呀！,4000,1室1厅1卫,整租,精装修,浦东新区,潍坊,36平米,南,普通住宅,潍坊六村,潍坊六村                                                    ,1983年,1.7,15%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1084707598
张江金科路广兰路押一付一无中介南北通透 实拍图紧邻地铁,2150,3室1厅1卫,合租,精装修,浦东新区,张东路,23平米,南,普通住宅,玉兰香苑(三期),盛夏路1107弄                                                    ,2007年,2,46%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084398724
长风二村精装好房近13号大渡河站拎包入住,5200,2室1厅1卫,整租,精装修,普陀区,长风,76平米,南,普通住宅,长风二村风荷苑,怒江路365号                                                    ,1985年,1.5,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083469390
爱博四村 精装 一室户 独（厨，卫）专为上班族打造 经济实惠,2000,1室1卫,整租,精装修,闵行区,华漕,25平米,南,普通住宅,爱博四村,天山西路4358弄                                                    ,2011年,1.45,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083009814
高弘新出两房 有钥匙 近六号线地铁 房型正气 南北通,3300,2室2厅1卫,整租,毛坯,浦东新区,高行,89平米,南北,普通住宅,高弘家苑,莱阳路2328弄                                                    ,2011年,暂无,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082442298
精装全配 交通便利 内置家具家电齐全 随时看房拎包入住,4000,1室1厅1卫,整租,简单装修,静安区,彭浦,41平米,南,普通住宅,幸福新苑,共和新路3650弄                                                    ,1997年,暂无,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085936679
银河新都精装三房随时看房 房东诚心出租近麦多生活广场生活便利,4500,3室2厅2卫,整租,精装修,闵行区,春申,119平米,南北,普通住宅,银河新都(北区),绿莲路100弄                                                    ,2006年,1.8,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085838429
延吉一村 精装一室户 次出租 随时看房 家具家电全齐全,2900,1室1厅1卫,整租,精装修,杨浦区,杨浦公园,36平米,南,普通住宅,延吉一村,延吉一村                                                    ,1956年,1.9,20%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1085484183
源花城精装两房 拎包即住 看房随时** 面谈整租,4000,2室2厅1卫,整租,精装修,松江区,九亭,96平米,南,普通住宅,上海源花城,涞寅路1200弄                                                    ,2008年,1.4,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085454561
1/4号地铁+有钥匙+精装可拎包入住+美罗城附近+徐家汇中心,7600,1室2厅1卫,整租,豪华装修,徐汇区,徐家汇,63平米,南,普通住宅,汇翠花园,漕溪北路737弄1-6号                                                    ,2003年,3.8,50%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083905871
龙漕路地铁口精装一房一厅 随时看房 房东急租 拎包入住,3600,1室1厅1卫,整租,精装修,徐汇区,龙华,45平米,南,老公房,漕溪四村,田东路66弄                                                    ,1986年,1.9,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083404757
新挂牌 钥匙看房 急租 整租一房2300/月,2300,1室1厅1卫,整租,简单装修,普陀区,桃浦,34平米,南,普通住宅,桃浦七村,雪松路458弄                                                    ,1995年,暂无,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083283263
"五号线旁万达对面，精装三房,电梯房,看房随时,家一般的感觉!",4400,3室2厅2卫,整租,精装修,闵行区,颛桥,89平米,南北,普通住宅,金铭文博水景(公寓),都市路2501弄                                                    ,暂无,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1083086343
若将富贵比贫贱，一在平地一在天若将贫贱比车马他得驱驰我闲,4200,2室1厅1卫,整租,精装修,闵行区,七宝,45平米,南,公寓,秀枫翠谷,漕宝路1911弄                                                    ,1996年,1.5,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083063123
看房方便，有钥匙，钥匙就在我身上哦！什么时间都可以看房！！,12000,3室2厅2卫,整租,精装修,浦东新区,联洋,138平米,南北,普通住宅,华丽家族花园,锦绣路666弄                                                    ,2002年,1.87,50%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082692497
物美价廉，*楼层，周边生活配套设施齐全，交通便利,2500,2室1厅1卫,整租,精装修,青浦区,徐泾,83平米,南北,普通住宅,瑞和锦庭(东区),凤马塘路200弄                                                    ,2012年,1.8,36%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1081924299
精装大一房 景观七宝体育公园 近幼儿园 上班中学 看房有钥匙,4500,1室1厅1卫,整租,精装修,闵行区,七宝,58平米,南,普通住宅,东方花园三期(公园养生豪庭),荣谊路108弄                                                    ,2001年,2.15,33%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1086078428
地铁口两房/配套完善。居家装修。,4600,2室1厅1卫,整租,简单装修,浦东新区,北蔡,53平米,南,公寓,天池一村,北艾路227弄                                                    ,1994年,1.2,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085130686
世茂滨江花园 精装全配 随时入住 老业主急租 看黄浦江景观,17000,2室2厅2卫,整租,豪华装修,浦东新区,陆家嘴,166平米,西南,公寓,世茂滨江花园(南区),潍坊西路2弄1-18号                                                    ,2009年,3,20%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1084805480
紧邻地铁6号线 交通方便 随时看房 拎包入住 价格便宜,6000,2室2厅1卫,整租,精装修,浦东新区,南码头,80平米,南,普通住宅,龙阳花苑,东三里桥路581弄                                                    ,2002年,1.9,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082494832
吉房出租  超值一房 拎包入住  位置优越  随时看房 ！！,2100,1室2厅1卫,整租,中等装修,浦东新区,航头,57平米,南,普通住宅,鹤沙航城航武嘉园(西区),航瑞路459弄                                                    ,暂无,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1081069706
无中介 押一付一 独立卫生间免费保洁周边配套齐全随时看房,2200,3室1厅1卫,合租,精装修,长宁区,新华路,24平米,南,普通住宅,长虹小区,虹桥路996弄                                                    ,1985年,1.2,20%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1085941813
精装月付 无中介 全装全配 独立卫浴 免费双周保洁 出行方便,2000,3室1厅1卫,合租,豪华装修,闵行区,金虹桥,21平米,南,普通住宅,华光花园,虹梅路3297弄                                                    ,2000年,1.8,45%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085791717
万源城逸郡，好房待租，南北直通，近地铁,22000,4室2厅1卫,整租,简单装修,闵行区,古美,171平米,南北,普通住宅,万源城逸郡,万源路788弄                                                    ,2007年,暂无,53%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085648047
远香坊嘉苑 南通透出行方便 精装修 采光好 无遮挡图片实拍,2600,2室1厅1卫,整租,精装修,嘉定区,嘉定新城,96平米,南,普通住宅,远香舫嘉苑,城固路55弄                                                    ,2011年,2.13,36%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082144323
精装一室一厅近真如地铁11号线随时看房拎包入住,2600,1室1厅1卫,整租,精装修,普陀区,真如,35平米,南,普通住宅,曹杨八村,曹杨八村                                                    ,1984年,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1084862665
别墅区内，精装2房，动物园旁边，百年森林海，看房随时,13800,2室2厅2卫,整租,精装修,长宁区,西郊,144平米,南,公寓,龙柏花苑(公寓),虹桥路2419号                                                    ,1998年,1.3,65%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083556375
法租界 湖南路永福路老洋房 整栋带150平花园 可办公 展示,23000,4室2厅2卫,整租,豪华装修,徐汇区,衡山路,240平米,南,新里洋房,湖南路296弄小区,湖南路296弄                                                    ,1983年,1.2,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082636347
金瑞苑，精装1房，毗邻国家会展，距2号线徐泾北城站50米,2400,1室1厅1卫,整租,精装修,青浦区,徐泾,49平米,南,普通住宅,金瑞苑北苑,凤阁路1000弄1-33号                                                    ,2012年,暂无,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1081752307
11号线精装全配独立厨卫一室户随时看房拎包入住,1800,1室1厅1卫,整租,精装修,浦东新区,三林,26平米,南,普通住宅,三林新村,永泰路133弄                                                    ,1990年,暂无,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1081201879
夏都C户型605平，豪装，双泳池会所小区，欢迎实力人士入住,130000,6室4厅6卫,整租,豪华装修,长宁区,西郊,605平米,南,别墅,夏都花园,剑河路2000弄                                                    ,2002年,暂无,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085968002
精品合租 温馨家居 更有家政服务 看房随时,3100,3室2厅2卫,合租,精装修,浦东新区,联洋,15平米,南,公寓,中邦风雅颂联洋花园丁香苑(联洋花园三期),丁香路1089弄                                                    ,2002年,2.3,42%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085706240
"近地铁347,精装全配,可短租,有钥匙,拎包入住,可押一付一",4300,2室1厅1卫,整租,精装修,普陀区,光新,55平米,南,普通住宅,石泉五村,石泉五村                                                    ,1983年,1.2,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1085660418
地铁/环球港就在家门口！南北大两房，装修干净清爽，房东好说话,7000,2室1厅1卫,整租,精装修,普陀区,曹杨,111平米,南,普通住宅,常高公寓,梅岭南路380弄                                                    ,1996年,1.3,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085589564
高兴花园中等2房押一付一诚心出租 近莘庄南广场 随时看房,2500,1室1厅1卫,整租,精装修,闵行区,春申,47平米,南北,普通住宅,高兴花园二/三/四街坊,莘朱路879弄29-156号                                                    ,1996年,2,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085171880
浦东世纪花园精装两房+交通便利+小区环境好绿化高+业主急租,9600,2室2厅1卫,整租,豪华装修,浦东新区,世纪公园,105平米,南,普通住宅,浦东世纪花园(一期),银霄路100弄                                                    ,2002年,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1084985466
中福城经典三房  出租  得房率80 新装修 sho次出租！,16000,3室2厅2卫,整租,精装修,黄浦区,南京东路,118平米,南北,普通住宅,中福城二期,广西北路228弄                                                    ,1993年,2.3,31%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083530208
漕溪大楼 精装修，拎包入住，有钥匙看房近地铁1/4号线,5300,2室1厅1卫,整租,精装修,徐汇区,徐家汇,55平米,南,普通住宅,漕溪大楼,漕溪北路750号                                                    ,暂无,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1085691665
"地铁口精装三房,房东刚挂牌,可押一付一,温馨舒适拎包即可入住",10000,3室2厅2卫,整租,精装修,静安区,大宁,140平米,南北,普通住宅,宝华现代城(一期),共和新路2399弄                                                    ,2008年,2.3,39%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085673197
"万邦都市花园,精装全配,真实房图,随时看房,随时入住紧邻地铁",4900,1室1厅1卫,整租,中等装修,浦东新区,花木,40平米,南北,普通住宅,万邦都市花园,龙阳路1880弄                                                    ,2004年,暂无,60%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085574665
精装全配，随时可拎包入住，交通便利，商圈繁华，生活气息浓烈,3500,2室2厅1卫,整租,精装修,浦东新区,周浦,91平米,南北,普通住宅,印象春城,年家浜东路129弄1-78号                                                    ,2009年,暂无,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084491149
西门北村简单装修，家电齐全，直套间，有钥匙可以随时看房！,1100,1室1厅1卫,整租,简单装修,崇明区,崇明主城,40平米,南,普通住宅,西门北村,西门北村                                                    ,1988年,暂无,25%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1082715269
中祥龙柏苑南北两房+精装电梯房+全明户型+采光无忧+业主急租,6500,2室2厅1卫,整租,精装修,闵行区,龙柏金汇,85平米,南北,公寓,中祥龙柏苑,白樟路99弄                                                    ,2004年,暂无,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1080048983
好房不等人 近漕河泾 南方城 电梯景观房 可押一付一的好房子,6500,3室2厅2卫,整租,精装修,闵行区,古美,138平米,南北,普通住宅,蓝色港湾,龙茗路1458弄                                                    ,2004年,1.42,48%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1086070336
公捷苑 精装大俩房 地铁100米直达 采光充足 全配,3600,3室1厅2卫,整租,精装修,松江区,松江新城,90平米,南北,普通住宅,公捷苑,谷阳北路881弄                                                    ,1997年,暂无,34%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085827834
地铁11号线+三林东站+金禾新苑+合租主卧+精装修+押一付一,1600,1室1卫,合租,精装修,浦东新区,三林,18平米,南,普通住宅,金禾新苑,环林东路271弄                                                    ,2006年,1.3,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084150402
江苏路地铁口 独栋花园洋房 全新豪华装修 适合会所 居家,40000,6室2厅4卫,整租,精装修,静安区,静安寺,420平米,南北,普通住宅,中实新村,愚园路579弄1-50号                                                    ,1988年,暂无,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083672154
延吉中路地铁两房精装修新出房源,3600,2室1厅1卫,整租,精装修,杨浦区,杨浦公园,65平米,南,普通住宅,延吉二村,延吉东路                                                    ,1984年,1.1,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1080450382
爱租房主推 奉浦苑 宝龙附近精装修 真实照片有钥匙 随时看房,2900,3室2厅1卫,整租,精装修,奉贤区,南桥,115平米,南北,普通住宅,奉浦苑,国顺路218号                                                    ,1999年,1.8,50%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1080202354
整租 精装两房 配置齐全 近地铁12/1号线  随时看房,4300,2室1厅1卫,整租,精装修,徐汇区,田林,70平米,南,普通住宅,田林十二村,钦州路582号                                                    ,1987年,2,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085315289
急租，精装2房，家电齐全，南北通透，温馨舒适，拎包即可入住。,4800,2室1厅1卫,整租,精装修,浦东新区,潍坊,52平米,南,普通住宅,潍坊七村,潍坊七村                                                    ,暂无,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1085097783
有车位+电梯新小区+周边配套成熟+楼层采光好+家电家具全新,4000,2室2厅1卫,整租,精装修,嘉定区,江桥,85平米,南北,普通住宅,嘉城新航域,海川路58弄                                                    ,1994年,1.6,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084957221
新装修，出租，毗邻汤臣一品，2房改3房，带地暖，真实照片,32000,3室2厅2卫,整租,豪华装修,浦东新区,陆家嘴,167平米,西北,公寓,财富海景花园,浦明路258弄                                                    ,2006年,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1084769931
临近威宁路地铁站精装月付 无中介 设施齐全 拎包入住独立卫浴,2100,3室1厅1卫,整租,精装修,长宁区,仙霞,23平米,南,普通住宅,大金更小区,茅台路255弄                                                    ,1997年,暂无,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084401483
御翠园，独栋别墅，挑空客厅，豪华装修，带独立大花园,60000,4室2厅3卫,整租,豪华装修,浦东新区,世纪公园,335平米,南,别墅,御翠园,花木路1883弄1-48号                                                    ,2004年,0.35,56%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1078688523
"中海豪装，花园880平，空调带地暖,宋庆龄就在家门口整租",25000,5室2厅3卫,整租,豪华装修,青浦区,赵巷,352平米,南,普通住宅,中海翡翠湖岸(北区),业辉路86弄                                                    ,暂无,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1085651012
信安新村  南北通2房 钥匙房 总价低,4700,2室1厅1卫,整租,简单装修,普陀区,真如,60平米,南,公寓,信安新村,信安新村                                                    ,1987年,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1085379662
无附加费 设施完善 入住立减房租 押一付一 精装修大主卧出租,3290,3室1厅1卫,整租,精装修,徐汇区,龙华,35平米,南,普通住宅,宛南六村,天钥桥路905弄1-46号                                                    ,1981年,1.8,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084638776
世博家园地铁口/8号线1300房租月付 直接拎包入住很是方便,1300,1室1厅1卫,合租,精装修,闵行区,浦江镇,19平米,南,普通住宅,世博家园七街坊,南江燕路69弄1-85号                                                    ,2006年,1.75,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085686106
押一付一 0中介 来电减房租 拎包入住  出行方便 主卧出租,2100,3室1厅1卫,整租,精装修,闵行区,七宝,22平米,南,普通住宅,富丽公寓,七莘路1666弄                                                    ,1997年,1.5,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084286240
法华苑，品质外交房，知名物业，豪华装修两房，新鲜出炉,12000,2室2厅2卫,整租,精装修,长宁区,新华路,115平米,南北,公寓,法华苑,法华镇路123弄                                                    ,1995年,2.6,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084270616
明珠家园，新房出租，租价3136元，急租，装修好价位低,3136,1室1厅1卫,整租,精装修,黄浦区,蓬莱公园,43平米,南,公寓,明珠家园(黄浦),瞿溪路501弄                                                    ,2003年,3,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083319676
温馨一居室，公寓电梯房，朝南，自带飘窗，阳光好，随时起租,4800,1室1厅1卫,整租,精装修,静安区,曹家渡,32平米,南,公寓,蓝朝部落,万航渡路858弄8号                                                    ,2002年,4.5,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082881310
紧邻西郊宾馆 尊贵居住 10号线龙溪路 豪装《居家办公首》,45000,5室3厅3卫,整租,豪华装修,长宁区,西郊,420平米,南北,别墅,金虹别墅,龙溪路1号                                                    ,1994年,0.85,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1081954544
朝南3房1厅1卫，电梯房，全套配置，近地铁300米出行方便,9500,3室1厅1卫,整租,精装修,长宁区,中山公园,74平米,西南,公寓,华东化工大厦,江苏路581弄1-2号                                                    ,1996年,1.8,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085948821
温馨小窝 有家有爱有温暖 适合小情侣 夫妻 有钥匙 可看房,4000,2室1厅1卫,整租,中等装修,浦东新区,北蔡,65平米,南,普通住宅,莲溪六村,莲溪路126弄                                                    ,1994年,1.6,38%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085240425
独栋别墅+可居住可办公+超大地下室+可长签+看房随时,10000,6室2厅4卫,整租,豪华装修,松江区,松江新城,520平米,南北,别墅,德邑小城(别墅),新松江路2618弄                                                    ,暂无,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1085081023
