标题,房型,房租,房租单位,地址
单间 | 新房出租 小区快速直达地铁 精装修家具家电齐全 看房,主卧(1室)                    20㎡,1800,元/月
整租 | 卓越世纪中心 楼下商业街 周边百联苏宁 临近地铁 拎,2室1厅2卫                    47㎡,1700,元/月
"整租 | 精装全配2房出租 只要1700一个月,房东人很好!拎",2室2厅1卫                    88㎡,1700,元/月
单间 | 婚房装修，全配。拎包入住。大阳台 大厨房。真实图片,次卧(2室)                    15㎡,1800,元/月
整租 | 房东急租底价出租仅此一套紧邻地，铁6/7/8号，线随,2室1厅1卫                    68㎡,4500,元/月
整租 | 夜景房 精装全配 空关 拎包入住 随时看房,2室2厅1卫                    81㎡,4890,元/月
整租 | 近马路地铁站.麦德龙.育才中学.育英街.精装全配.拎,3室2厅1卫                    88㎡,5000,元/月
整租 | 嘉诚倾力打造露香园 豪华装修全屋地暖干净清爽 有会所,3室2厅3卫                    260㎡,25000,元/月
单间 | 自己家房子750元诚心出租，要的来电,次卧(3室)                    12㎡,750,元/月
整租 | 车站新村精装修一房紧靠上海西站地铁十一号线随时拎包入,2室1厅1卫                    64㎡,6400,元/月
单间 | 华沁家园 精装朝南主卧带独立厨卫 家电齐全 随时入住,主卧(1室)                    28㎡,1900,元/月
单间 | 南九亭核心地段，地铁房，独立厨卫别墅单间诚心出租！,主卧(4室)                    18㎡,1600,元/月
整租 | 恒大华府 3室1卫2厅,3室2厅1卫                    95㎡,2500,元/月
单间 | 南村小区对面333号 1室1厅1卫 男女不限,主卧(1室)                    20㎡,1500,元/月
整租 | 黄浦滨江奢华大三房+采光好+业主首租+地铁9号线小南,3室2厅2卫                    155㎡,14000,元/月
整租 | 价格可以谈 房东叔叔很好说话的 家具电器都好用的 拎,1室1厅1卫                    50㎡,3500,元/月
整租 | 紫翠高清苑 2室1厅1卫,2室1厅1卫                    65㎡,4600,元/月
整租 | 宝华盛世花园 4室2卫2厅,4室2厅2卫                    150㎡,3400,元/月
整租 | 地铁南浦大桥站 温馨舒适 拎包入住 房型正气 朝南采,1室1厅1卫                    41㎡,3200,元/月
整租 | 月亮河桂园 2室2厅1卫,2室2厅1卫                    84㎡,4000,元/月
单间 | 闵行颛桥颛溪五村 3室1厅 主卧 朝南 精装修,主卧(3室)                    15㎡,1100,元/月
整租 | 象屿都城 2室1卫2厅,2室2厅1卫                    92㎡,4600,元/月
整租 | 昌鑫时代绿园精装两房 配套齐全 拎包入住 随时看房,2室1厅1卫                    70㎡,3600,元/月
整租 | 上海浦东新区 2室1厅1卫,2室1厅1卫                    72㎡,4700,元/月
整租 | 只做真实的房源，新出好房 一日必租 一房精装全配 4,1室1厅1卫                    43㎡,3000,元/月
单间 | 高东新村 2室1厅1卫 男女不限,次卧(2室)                    20㎡,1500,元/月
整租 | 底价出租南北通透3室绿地威廉公寓采光好拎包随时就可以,3室2厅2卫                    122㎡,5500,元/月
整租 | 上南五村 靠近地铁7.8号线 全明户型 精装修 可押,1室1厅1卫                    40㎡,2300,元/月
单间 | 康桥老街 2室2厅 次卧转租 限女生,次卧(2室)                    89㎡,1900,元/月
整租 | 陆家嘴创业街区 2室2厅1卫,2室2厅1卫                    125㎡,11000,元/月
整租 | 复地北桥城 联排别墅 厅大带地下室 近地铁5号线 随,3室2厅2卫                    280㎡,6000,元/月
整租 | 精装一房，家具全套，出门地铁，商圈成熟，拎包入住，诚,1室1厅1卫                    41㎡,3200,元/月
单间 | 锦绣公寓 2室2厅1卫 男女不限,主卧(2室)                    25㎡,1500,元/月
整租 | 优质两房，豪华装修，家电齐全，拧包入住,2室1厅1卫                    76㎡,2100,元/月
单间 | 房间现代简约风格装修/干净清爽/品质公寓品牌保证 贴,主卧(3室)                    23㎡,1199,元/月
标题,房型,房租,房租单位,地址
单间 | 押一付一丨《大叶公路》《金汇政府》丨精装阳台主卧丨家,主卧(3室)                    25㎡,870,元/月
整租 | 高品质小区，紧邻黄兴公园及地铁， 速看！！！,1室2厅1卫                    70㎡,5000,元/月
整租 | 成熟小区，整租大三房，居家全配，干净，温馨，装修好，,3室1厅1卫                    120㎡,4800,元/月
整租 | 紫晶苑 2室2厅1卫,2室2厅1卫                    79㎡,4600,元/月
"整租 | 原始房型 通风采光好 干净整洁 有钥匙房源,随时可看",3室1厅1卫                    103㎡,3000,元/月
整租 | 价格可议 温馨舒适 拎包入住 欢迎致电,2室1厅1卫                    62㎡,5800,元/月
单间 | 蒲汇别墅精装单间带独立厨房卫浴 步行5分钟即到七宝地,主卧(4室)                    28㎡,2300,元/月
单间 | 张江 玉兰香苑一期B区 2号线广兰路,(3室)                    26㎡,2450,元/月
单间 | 芙蓉花苑 个人转租，无，交通生活便利，小区环境好,主卧(4室)                    15㎡,1900,元/月
整租 | 金瑞苑北苑 2室1厅1卫,2室1厅1卫                    74㎡,2800,元/月
整租 | 南方城 紧邻1号线 豪华装修 带地暖带空调 初次出租,3室2厅2卫                    132㎡,7500,元/月
整租 | 丰景湾出租房 小高层十楼 精准修 拎包入住,2室2厅1卫                    102.18㎡,7000,元/月
单间 | 七宝租房 惠明苑 个人转租1900 免,次卧(3室)                    18㎡,1900,元/月
整租 | 顺馨佳园 精装朝南主卧1200 近地铁菜场 押一付一,3室1厅2卫                    30㎡,1200,元/月
整租 | 品珍苑 2室2厅1卫,2室2厅1卫                    86㎡,4500,元/月
整租 | 金谷村 1室1卫1厅,1室1厅1卫                    30㎡,5300,元/月
整租 | 精装全配，押一付一，干净清爽，出门百米地铁站，拎包入,1室1厅1卫                    37㎡,4000,元/月
整租 | 近地铁7号线精装修二室户，拎包入住，楼层佳采光好，成,2室1厅1卫                    71㎡,4500,元/月
整租 | 延吉六村 地铁8号线 交通便利，房东急租，价格可谈,1室1厅1卫                    43㎡,3500,元/月
整租 | 塔城路510 3室2厅2卫,3室2厅2卫                    119.8㎡,4200,元/月
整租 | 金牛苑 近南站 这么近地铁这么便宜的房子哪儿找？赶快,2室1厅1卫                    61㎡,3500,元/月
"单间 | 包水电煤WIFI,顾村公园一线景观房",次卧(1室)                    11㎡,700,元/月
整租 | 实地拍摄 房东自住 诚心出租 家电全配 近韩国街 协,3室2厅2卫                    136㎡,6800,元/月
整租 | 精装一室一厅一厨一卫,1室1厅1卫                    45㎡,1500,元/月
单间 | 灵新小区 1室1厅1卫 男女不限,主卧(1室)                    16㎡,1400,元/月
单间 | 平复苑 4室1厅2卫 男女不限,主卧(4室)                    16㎡,600,元/月
单间 | 世博家园大道站路94弄小区 1室1厅1卫 限女生,次卧(1室)                    30㎡,1400,元/月
整租 | 爱德毛坯一房，中等楼层，南北通透，一年一签，近地铁，,1室1厅1卫                    61㎡,2300,元/月
整租 | 南新二村 1室1厅1卫,1室1厅1卫                    46㎡,3500,元/月
单间 | 象源丽都 找一位女生合租单间两张床 急租 个人 可做,次卧(2室)                    28㎡,1650,元/月
"整租 | 55平精装修南北通透,生活方便,随时可看,急",2室1厅1卫                    55㎡,4800,元/月
单间 | 阳台独卫带浴缸，商场菜场小吃街，公交地铁小黄车，齐全,主卧(1室)                    26㎡,2000,元/月
整租 | 上门实拍 随时看房 押一付一 临近地铁 购物方便 房,1室1厅1卫                    70㎡,6500,元/月
整租 | 南北2房2卫，精装修家具家电齐全，看房方便，现在可租,2室2厅2卫                    89㎡,4500,元/月
单间 | 个人房源押一付一步行200米即到莘庄地铁站精装主卧有,主卧(3室)                    30㎡,2500,元/月
整租 | 友家公寓 1室0厅1卫,1室0厅1卫                    30㎡,1300,元/月
整租 | 灵新小区 1室1卫1厅,1室1厅1卫                    38㎡,2900,元/月
整租 | 贝尔新村 2室1卫1厅,2室1厅1卫                    60㎡,5000,元/月
单间 | 步行8分钟到9号线七宝站10号线航中路站 精装单间配,主卧(4室)                    28㎡,2200,元/月
整租 | 上师大家属宿 2室1厅1卫,2室1厅1卫                    42㎡,4600,元/月
整租 | 鹿达路111号/ 3室1厅/ 出租2室 /简单装修,3室1厅1卫                    295㎡,3000,元/月
单间 | 日月华城 2室1卫 男女不限,主卧(2室)                    72㎡,1500,元/月
单间 | 南村小区对面333号 1室1厅1卫 男女不限,主卧(1室)                    20㎡,1500,元/月
单间 | 房间干净整洁 1500/月 配套全 拎包入住 12号,主卧(1室)                    10㎡,2000,元/月
整租 | 为毕业生量身打造+漕泾河+十二号线+精装全配+押一付,1室1厅1卫                    65㎡,3900,元/月
整租 | 精装修两房，采光好大阳台，图片真实看房有钥匙，近漕河,2室2厅1卫                    89㎡,3500,元/月
单间 | 个人低价出租！免！,次卧(3室)                    20㎡,1000,元/月
整租 | 金葵新城 1室0厅1卫,1室0厅1卫                    20㎡,1500,元/月
整租 | 江苏路别墅洋房底楼展示型办公房 大开间可改造可长期,3室2厅3卫                    200㎡,15000,元/月
整租 | 非中介 酒店式公寓  个人直租 地铁周边,1室0厅1卫                    24㎡,900,元/月
整租 | 中上装两房出租，近4/6号线地铁、金融广场，配套齐全,2室1厅1卫                    58㎡,4800,元/月
整租 | 步行三分直达地铁站,1室1厅1卫                    20㎡,1458,元/月
整租 | 房源 超值家电齐全 超值两房 随时看房,2室1厅1卫                    69㎡,2700,元/月
整租 | 古华新村靠近古华公园菜场交通方便随时可以看房,2室1厅1卫                    73㎡,1900,元/月
整租 | 浦东新区周浦镇立跃路519号乐乎青年公寓 1室1卫1,1室1厅1卫                    30㎡,1500,元/月
整租 | 大学城旁边，丁香花园，2+1户型，看房提前预约，随时,3室2厅1卫                    106㎡,3200,元/月
整租 | 景谷苑、红旗四街坊、近华宁路地铁站、近碧江广场！房东,3室2厅1卫                    88㎡,3000,元/月
单间 | 汇郡海棠苑 4室1厅2卫 男女不限,次卧(4室)                    10㎡,1000,元/月
整租 | 明园森林都市滴翠苑 2室1卫2厅,2室2厅1卫                    92㎡,8000,元/月
整租 | 1号线中山北路+地铁口房源+精装复式+共筑爱巢,1室1厅1卫                    25㎡,2900,元/月
单间 | 房子是2室一厅，租一间主卧,主卧(2室)                    30㎡,1500,元/月
整租 | 长桥一村 正南一房 居家装修 随时看房 全装全配 拎,1室1厅1卫                    42㎡,2900,元/月
整租 | 奥园二期：（精装大三房）（景观位置）（超性价比）配套,3室2厅2卫                    136㎡,6000,元/月
单间 | 虹口商城 1室 男女不限,次卧(1室)                    12㎡,1700,元/月
整租 | 招商·虹悦华府 2室2厅1卫,2室2厅1卫                    80㎡,6000,元/月
整租 | 嘉定丰庄鼎秀园 2室2厅 85平米 简单装修 押一付,2室2厅1卫                    85㎡,4200,元/月
整租 | 三湘盛世花园 3室2厅2卫,3室2厅2卫                    128㎡,6000,元/月
整租 | 出租一室户 采光好空间大 573 1058 1032,1室0厅1卫                    28㎡,1500,元/月
整租 | 上海南站1/3线 临近地铁100米 安静安全的小区,2室1厅1卫                    60㎡,3800,元/月
"整租 | 房东诚心出租,双地铁小区,交通方便,设施齐全,居家居",1室1厅1卫                    56㎡,3600,元/月
整租 | 信义嘉庭 整套房出租 高性价比 房东出租免 3室2厅,3室2厅1卫                    92㎡,3100,元/月
单间 | 近9号线地铁精装单间拥有独立厨房卫浴可以押一付一房东,主卧(4室)                    30㎡,2500,元/月
整租 | 嘉定西地铁站胜悦佳苑 2室1卫1厅,2室1厅1卫                    96㎡,3500,元/月
标题,房型,房租,房租单位,地址
标题,房型,房租,房租单位,地址
标题,房型,房租,房租单位,地址
标题,房型,房租,房租单位,地址
单间 | 康桥宝邸 主卧带阳台 上班族合租 押一付一 精装修,主卧(2室)                    21㎡,1350,元/月
"单间 | 实图,,随时看拎包即住,让您租房无压力,中冶锦城",次卧(1室)                    14㎡,1200,元/月
整租 | 地铁4/12号线 宜家一房一厅 干净清爽 配备齐全,1室1厅1卫                    40㎡,3600,元/月
整租 | 爱德毛坯一房，中等楼层，南北通透，一年一签，近地铁，,1室1厅1卫                    61㎡,2300,元/月
单间 | 闵行七宝白领公寓 1室1厅 主卧 朝南 中等装修,主卧(1室)                    25㎡,2000,元/月
整租 | 近地铁7号线精装修二室户，拎包入住，楼层佳采光好，成,2室1厅1卫                    71㎡,4500,元/月
单间 | 个人 中环和润苑 2室1厅 次卧 朝南 12号爱国路,次卧(3室)                    10㎡,1400,元/月
单间 | 宝山路3号线地铁口 1室1厅1卫 限女生,主卧(1室)                    30㎡,800,元/月
整租 | 景谷苑、红旗四街坊、近华宁路地铁站、近碧江广场！房东,3室2厅1卫                    88㎡,3000,元/月
单间 | 大宅风范城个人出租拥有独立厨房近地铁13号线万达广场,主卧(3室)                    15㎡,2100,元/月
单间 | 镇坪路地铁口，交通便利，包水电网，男女不限，朝南带阳,主卧(4室)                    13㎡,1900,元/月
整租 | 闵行浦江 馨宁佳苑 2室 1厅 80.15平米,2室1厅1卫                    80.15㎡,2800,元/月
单间 | 青年公寓房租月付近地铁3/4/11号线，环球港对面,主卧(3室)                    121㎡,500,元/月
单间 | 1室 男女不限 干净舒适，离地铁非常近,次卧(1室)                    15㎡,1650,元/月
整租 | 顺馨佳园 精装朝南主卧1200 近地铁菜场 押一付一,3室1厅2卫                    30㎡,1200,元/月
整租 | 闵行莘庄莘纪苑小区 1室1厅 36平米 精装修 押一,1室1厅1卫                    36㎡,1600,元/月
整租 | 嘉定丰庄鼎秀园 2室2厅 85平米 简单装修 押一付,2室2厅1卫                    85㎡,4200,元/月
整租 | 绿地春申花园 1室1厅1卫,1室1厅1卫                    35㎡,2000,元/月
整租 | 南方城 紧邻1号线 豪华装修 带地暖带空调 初次出租,3室2厅2卫                    132㎡,7500,元/月
单间 | 张江 玉兰香苑一期B区 2号线广兰路,(3室)                    26㎡,2450,元/月
整租 | 上门实拍 随时看房 押一付一 临近地铁 购物方便 房,1室1厅1卫                    70㎡,6500,元/月
整租 | 金牛苑 近南站 这么近地铁这么便宜的房子哪儿找？赶快,2室1厅1卫                    61㎡,3500,元/月
整租 | 庄泾苑 1室1厅1卫,1室1厅1卫                    61㎡,2000,元/月
"整租 | 55平精装修南北通透,生活方便,随时可看,急",2室1厅1卫                    55㎡,4800,元/月
整租 | 精装一室一厅一厨一卫,1室1厅1卫                    45㎡,1500,元/月
整租 | 实地拍摄 房东自住 诚心出租 家电全配 近韩国街 协,3室2厅2卫                    136㎡,6800,元/月
单间 | 个人房源，非中介，梅园三街坊( 3室1厅 次卧 朝北,次卧(3室)                    12㎡,2400,元/月
单间 | (个人）近漕河泾开发区，主卧单间出租，家电齐全拎包入,主卧(3室)                    18㎡,1900,元/月
整租 | 丰景湾出租房 小高层十楼 精准修 拎包入住,2室2厅1卫                    102.18㎡,7000,元/月
单间 | 浦东金桥高弘家苑 3室1厅 主卧 朝南 精装修,主卧(3室)                    15㎡,1600,元/月
整租 | 步行三分直达地铁站,1室1厅1卫                    20㎡,1458,元/月
整租 | 金山石化 山鑫公寓3室 1厅 98平米,3室1厅1卫                    98㎡,2600,元/月
整租 | 精装修两房，采光好大阳台，图片真实看房有钥匙，近漕河,2室2厅1卫                    89㎡,3500,元/月
整租 | 奥园二期：（精装大三房）（景观位置）（超性价比）配套,3室2厅2卫                    136㎡,6000,元/月
单间 | 宝山上海大学锦秋花园 1室1厅 主卧,主卧(1室)                    40㎡,1111,元/月
整租 | 大学城旁边，丁香花园，2+1户型，看房提前预约，随时,3室2厅1卫                    106㎡,3200,元/月
整租 | 为毕业生量身打造+漕泾河+十二号线+精装全配+押一付,1室1厅1卫                    65㎡,3900,元/月
单间 | 阳光威尼斯单间850,隔断(2室)                    10㎡,750,元/月
"整租 | 房东诚心出租,双地铁小区,交通方便,设施齐全,居家居",1室1厅1卫                    56㎡,3600,元/月
单间 | 个人房源独厨独卫精装全配近地铁13号线,主卧(1室)                    22㎡,2200,元/月
单间 | 爱博三村 1室1厅1卫 男女不限,主卧(1室)                    18㎡,1500,元/月
整租 | 南杨小区-东区 1室1厅1卫,1室1厅1卫                    40㎡,3000,元/月
整租 | 延吉六村 地铁8号线 交通便利，房东急租，价格可谈,1室1厅1卫                    43㎡,3500,元/月
单间 | 滨江雅苑 近大华虎城商业街，有空调，采光好,隔断(3室)                    13㎡,1200,元/月
单间 | 金禾新苑 3室1厅1卫 男女不限,主卧(3室)                    20㎡,2300,元/月
整租 | 价格可议 温馨舒适 拎包入住 欢迎致电,2室1厅1卫                    62㎡,5800,元/月
整租 | 圣美邸 2室2厅2卫,2室2厅2卫                    110㎡,13500,元/月
"整租 | 原始房型 通风采光好 干净整洁 有钥匙房源,随时可看",3室1厅1卫                    103㎡,3000,元/月
整租 | 非中介 酒店式公寓  个人直租 地铁周边,1室0厅1卫                    24㎡,900,元/月
单间 | 阳台独卫带浴缸，商场菜场小吃街，公交地铁小黄车，齐全,主卧(1室)                    26㎡,2000,元/月
整租 | 顺馨佳园 1室1厅1卫,1室1厅1卫                    60㎡,2400,元/月
整租 | 东唐苑-南区 2室1卫2厅,2室2厅1卫                    80㎡,4500,元/月
整租 | 上海阳城 1室1厅1卫,1室1厅1卫                    35㎡,2000,元/月
整租 | 精装全配，押一付一，干净清爽，出门百米地铁站，拎包入,1室1厅1卫                    37㎡,4000,元/月
整租 | 房源 超值家电齐全 超值两房 随时看房,2室1厅1卫                    69㎡,2700,元/月
整租 | 江苏路别墅洋房底楼展示型办公房 大开间可改造可长期,3室2厅3卫                    200㎡,15000,元/月
单间 | 房间干净整洁 1500/月 配套全 拎包入住 12号,主卧(1室)                    10㎡,2000,元/月
单间 | 听潮五村 2室2厅1卫 男女不限,次卧(2室)                    30㎡,1100,元/月
单间 | 个人房源，可宏润花园(258弄 4室1厅1卫 男女不,主卧(4室)                    20㎡,2800,元/月
整租 | 古华新村靠近古华公园菜场交通方便随时可以看房,2室1厅1卫                    73㎡,1900,元/月
单间 | 南汇康桥文怡苑(14 2室1厅 次卧 朝南 精装修,次卧(2室)                    18㎡,1500,元/月
整租 | 上海南站1/3线 临近地铁100米 安静安全的小区,2室1厅1卫                    60㎡,3800,元/月
单间 | 三林世博家园(560弄) 2室1厅1卫 男女不限，带,隔断(2室)                    12㎡,1500,元/月
整租 | 中上装两房出租，近4/6号线地铁、金融广场，配套齐全,2室1厅1卫                    58㎡,4800,元/月
整租 | 出租一室户 采光好空间大 573 1058 1032,1室0厅1卫                    28㎡,1500,元/月
单间 | 佳安公寓 2室1厅1卫 非中介男女不限 超大房型12,主卧(2室)                    25㎡,5000,元/月
单间 | 普陀光新大楼 便宜单间出租 朝南 精装修 紧靠镇坪路,主卧(1室)                    20㎡,2200,元/月
整租 | 1号线中山北路+地铁口房源+精装复式+共筑爱巢,1室1厅1卫                    25㎡,2900,元/月
整租 | 长桥一村 正南一房 居家装修 随时看房 全装全配 拎,1室1厅1卫                    42㎡,2900,元/月
单间 | 明天华城 3室1厅1卫 男女不限 个人，包网,主卧(3室)                    15㎡,1400,元/月
整租 | 南北2房2卫，精装修家具家电齐全，看房方便，现在可租,2室2厅2卫                    89㎡,4500,元/月
整租 | 明珠家园 2室2厅1卫,2室2厅1卫                    98㎡,2500,元/月
整租 | 海通花苑-北区 1室1卫1厅,1室1厅1卫                    28㎡,1700,元/月
标题,房型,房租,房租单位,地址
整租 | 华府188，高品质小区，豪华装修，近地铁，享受生活,3室2厅2卫                    101㎡,9000,元/月
单间 | 漕宝路出门就是地铁1/12号线二室一厅朝南主卧出租可,主卧(2室)                    18㎡,1600,元/月
整租 | 恒盛湖畔豪庭精装全配三房 南北通透采光好 随时看房,3室2厅2卫                    90㎡,2000,元/月
单间 | 浦东三林万科金色里程 3室2厅 次卧 朝北 精装修,次卧(3室)                    16㎡,1800,元/月
整租 | 1号线中山北路+地铁口房源+精装复式+共筑爱巢,1室1厅1卫                    25㎡,2900,元/月
整租 | 步行三分直达地铁站,1室1厅1卫                    20㎡,1458,元/月
整租 | 延吉六村 地铁8号线 交通便利，房东急租，价格可谈,1室1厅1卫                    43㎡,3500,元/月
单间 | 阳台独卫带浴缸，商场菜场小吃街，公交地铁小黄车，齐全,主卧(1室)                    26㎡,2000,元/月
整租 | 近地铁7号线精装修二室户，拎包入住，楼层佳采光好，成,2室1厅1卫                    71㎡,4500,元/月
整租 | 顺馨佳园 精装朝南主卧1200 近地铁菜场 押一付一,3室1厅2卫                    30㎡,1200,元/月
整租 | 上师大新村 2室1厅1卫,2室1厅1卫                    56㎡,4000,元/月
单间 | 星河世纪城星月蓝湾 3室2厅1卫 限女生,次卧(3室)                    12㎡,1800,元/月
整租 | 江苏路别墅洋房底楼展示型办公房 大开间可改造可长期,3室2厅3卫                    200㎡,15000,元/月
"整租 | 房东诚心出租,双地铁小区,交通方便,设施齐全,居家居",1室1厅1卫                    56㎡,3600,元/月
整租 | 瀚盛家园 2室2厅2卫,2室2厅2卫                    86㎡,5000,元/月
单间 | 共建小区(180弄) 2室1厅1卫 男女不限,次卧(2室)                    18㎡,2100,元/月
单间 | 不烧饭点，房租可以下调，,主卧(2室)                    20㎡,1800,元/月
"整租 | 原始房型 通风采光好 干净整洁 有钥匙房源,随时可看",3室1厅1卫                    103㎡,3000,元/月
整租 | 昆山首创悦都 2室1厅1卫,2室1厅1卫                    75㎡,1000,元/月
单间 | 金巷小区(10弄3支弄) 1室1卫 男女不限,隔断(1室)                    20㎡,1900,元/月
单间 | 新德佳苑 3室1厅1卫 男女不限,主卧(3室)                    25㎡,1217,元/月
单间 | 鑫峰苑 3室1厅1卫 男女不限,主卧(3室)                    100㎡,1500,元/月
单间 | 场中路2471 1室1厅1卫 近1号线,次卧(1室)                    10㎡,1200,元/月
整租 | 永和路448弄小区 3室1厅1卫,3室1厅1卫                    88㎡,6500,元/月
整租 | 长桥一村 正南一房 居家装修 随时看房 全装全配 拎,1室1厅1卫                    42㎡,2900,元/月
单间 | 粤绣名邸 1室1卫 男女不限,主卧(1室)                    20㎡,1300,元/月
整租 | 上门实拍 随时看房 押一付一 临近地铁 购物方便 房,1室1厅1卫                    70㎡,6500,元/月
整租 | 上南五村 2室1厅1卫,2室1厅1卫                    30㎡,3500,元/月
单间 | 宝山上海大学汇枫景苑 2室2厅 精装修,(2室)                    60㎡,4000,元/月
整租 | 中上装两房出租，近4/6号线地铁、金融广场，配套齐全,2室1厅1卫                    58㎡,4800,元/月
整租 | 徐汇新湖云庭 2室2厅1卫,2室2厅1卫                    95㎡,9500,元/月
单间 | 朝南主卧1500卫生间两户用，采光好床大两个人住性价,主卧(1室)                    25㎡,1500,元/月
整租 | 爱德毛坯一房，中等楼层，南北通透，一年一签，近地铁，,1室1厅1卫                    61㎡,2300,元/月
单间 | 马桥景城馨苑 3室1厅1卫 男女不限,主卧(3室)                    13㎡,800,元/月
"整租 | 55平精装修南北通透,生活方便,随时可看,急",2室1厅1卫                    55㎡,4800,元/月
整租 | 奥园二期：（精装大三房）（景观位置）（超性价比）配套,3室2厅2卫                    136㎡,6000,元/月
单间 | 淞泽华城逸泰雅苑800弄10号楼802 3室1厅1卫,主卧(3室)                    89㎡,900,元/月
整租 | 精装一室一厅一厨一卫,1室1厅1卫                    45㎡,1500,元/月
单间 | 新宝社区 2室1厅1卫 男女不限,次卧(2室)                    15㎡,850,元/月
整租 | 古华新村靠近古华公园菜场交通方便随时可以看房,2室1厅1卫                    73㎡,1900,元/月
整租 | 江月路浦星公路 2室1厅1卫,2室1厅1卫                    100㎡,4200,元/月
整租 | 实地拍摄 房东自住 诚心出租 家电全配 近韩国街 协,3室2厅2卫                    136㎡,6800,元/月
"单间 | 有厨房，大客厅，网线，床，桌，衣,柜，热水器，洗衣机",主卧(3室)                    98㎡,550,元/月
单间 | 轻纺市场旁边 带独立卫生间 便宜出租 个人出租,主卧(3室)                    30㎡,2200,元/月
整租 | 远洋万和四季 3室1卫2厅,3室1厅2卫                    99㎡,2799,元/月
整租 | 价格可议 温馨舒适 拎包入住 欢迎致电,2室1厅1卫                    62㎡,5800,元/月
整租 | 精装修两房，采光好大阳台，图片真实看房有钥匙，近漕河,2室2厅1卫                    89㎡,3500,元/月
整租 | 赛杰苑 3室2厅2卫,3室2厅2卫                    127㎡,4500,元/月
整租 | 上南十村 2室1厅1卫,2室1厅1卫                    42㎡,3800,元/月
单间 | 一号线上海马戏城新梅共和城 1室1卫 男女不限,主卧(1室)                    25㎡,2500,元/月
单间 | 三林新村永泰路59弄 1室1厅1卫 男女不限,主卧(1室)                    30㎡,2000,元/月
整租 | 东源名都(西区) 1室1卫0厅,1室0厅1卫                    28㎡,2000,元/月
整租 | 精装全配，押一付一，干净清爽，出门百米地铁站，拎包入,1室1厅1卫                    37㎡,4000,元/月
整租 | 丰景湾出租房 小高层十楼 精准修 拎包入住,2室2厅1卫                    102.18㎡,7000,元/月
单间 | 张江 玉兰香苑一期B区 2号线广兰路,(3室)                    26㎡,2450,元/月
整租 | 上海南站1/3线 临近地铁100米 安静安全的小区,2室1厅1卫                    60㎡,3800,元/月
整租 | 金牛苑 近南站 这么近地铁这么便宜的房子哪儿找？赶快,2室1厅1卫                    61㎡,3500,元/月
整租 | 嘉定丰庄鼎秀园 2室2厅 85平米 简单装修 押一付,2室2厅1卫                    85㎡,4200,元/月
单间 | 房间干净整洁 1500/月 配套全 拎包入住 12号,主卧(1室)                    10㎡,2000,元/月
整租 | 南方城 紧邻1号线 豪华装修 带地暖带空调 初次出租,3室2厅2卫                    132㎡,7500,元/月
单间 | 洪山路1658弄恒宇小区 3室1厅2卫 主卧朝南精装,主卧(3室)                    20㎡,2000,元/月
整租 | 大学城旁边，丁香花园，2+1户型，看房提前预约，随时,3室2厅1卫                    106㎡,3200,元/月
整租 | 鸿宝一村 1室1卫1厅,1室1厅1卫                    40㎡,1350,元/月
单间 | 浦东金沁苑(北区 3室1厅 次卧 朝北 中等装修,次卧(3室)                    15㎡,850,元/月
单间 | 爱建大厦 1室 宛平南路,次卧(3室)                    15㎡,2300,元/月
整租 | 景谷苑、红旗四街坊、近华宁路地铁站、近碧江广场！房东,3室2厅1卫                    88㎡,3000,元/月
单间 | 闵行春申虹梅家人蔷薇 2室1厅 主卧 朝南 没有,主卧(2室)                    65㎡,1800,元/月
整租 | 为毕业生量身打造+漕泾河+十二号线+精装全配+押一付,1室1厅1卫                    65㎡,3900,元/月
整租 | 非中介 酒店式公寓  个人直租 地铁周边,1室0厅1卫                    24㎡,900,元/月
整租 | 房源 超值家电齐全 超值两房 随时看房,2室1厅1卫                    69㎡,2700,元/月
整租 | 出租一室户 采光好空间大 573 1058 1032,1室0厅1卫                    28㎡,1500,元/月
整租 | 南北2房2卫，精装修家具家电齐全，看房方便，现在可租,2室2厅2卫                    89㎡,4500,元/月
